1,136.0
2,268.25
3,278.25
4,342.5
5,357.5
6,247.25
7,317.5
8,226.25
9,240.0
10,184.25
11,340.0
12,203.0
13,236.75
,14,168.0
,15,310.5
,16,277.5
,17,202.0
,18,360
,19,275.0
,20,211.75
,21,274.75
,22,317.5
,23,172.5
,24,227.75
,25,291.5
,26,296.25
,27,293.25
,28,264.5
,29,172.0
,30,335.0
,31,108.75
,32,296.5
,33,213.75
,34,318.0
,35,261.5
,36,342.5
,37,258.0
,38,272.0
,39,212.5
,40,300.75
,41,267.5
,42,325.0
,43,332.5
,44,291.75
,45,323.0
,46,188.75
,47,327.5
,48,204.5
,49,237.25
,50,323.75
,51,322.5
,52,329.0
,53,221.5
,54,153.75
,55,290.0
,56,247.5
,57,280.0
,58,267.75
,59,252.5
,60,173.75
,61,176.0
,62,296.25
,63,213.5
,64,195.0
,65,247.5
,66,213.75
,67,299.25
,68,220.5
,69,187.5
,70,281.75
,71,212.5
,72,312.5
,73,360
,74,214.0
,75,287.75
,76,137.25
,77,113.5
,78,307.5
,79,275.5
,80,225.0
,81,271.25
,82,201.75
,83,253.0
,84,335.0
,85,174.75
,86,151.5
,87,360
,88,345.0
,89,164.25
,90,229.5
,91,305.25
,92,179.75
,93,337.5
,94,230.75
,95,245.25
,96,316.25
,97,239.5
,98,355.0
,99,277.5
,100,317.5
